Value	Rank	Genus	Family	Phylum	Location	Impt_Family
NCBITaxon:928856	species	NCBITaxon:2083206	NCBITaxon:31989	NCBITaxon:1224	human	other
NCBITaxon:935700	species	NCBITaxon:188905	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:941280	strain	NCBITaxon:561	NCBITaxon:543	NCBITaxon:1224	human	other
NCBITaxon:945555	strain	NCBITaxon:469	NCBITaxon:468	NCBITaxon:1224	human	other
NCBITaxon:983917	strain	NCBITaxon:28067	NCBITaxon:2975441	NCBITaxon:1224	human	other
NCBITaxon:989403	species	NCBITaxon:258255	NCBITaxon:2821832	NCBITaxon:1224	human	other
NCBITaxon:989410	species	NCBITaxon:258255	NCBITaxon:2821832	NCBITaxon:1224	human	other
NCBITaxon:1017270	species	NCBITaxon:1329200	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1033734	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1037680	species	NCBITaxon:2837507	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1042163	strain	NCBITaxon:55080	NCBITaxon:186822	NCBITaxon:1239	human	other
NCBITaxon:1048380	species	NCBITaxon:76008	NCBITaxon:543313	NCBITaxon:1239	human	other
NCBITaxon:1052585	strain	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1071078	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1071080	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1071718	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1073571	strain	NCBITaxon:44249	NCBITaxon:186822	NCBITaxon:1239	human	other
NCBITaxon:1095383	species	NCBITaxon:129337	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1095750	strain	NCBITaxon:1164882	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:1095777	species	NCBITaxon:1649504	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1105031	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:1117379	strain	NCBITaxon:2675232	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1121305	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
